gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,age_group
2,0,14.73,29,0,3,8.99,1,3,1,0.49,0,2
2,2,0.7,19,2,2,13.99,1,3,5,0.03,6,0
2,1,4.51,12,4,3,17.99,1,1,2,0.35,4,2
2,2,1.89,13,0,2,13.99,1,1,2,0.13,0,2
0,2,13.8,26,4,2,13.99,0,2,3,0.51,0,2
2,0,13.83,20,1,3,8.99,0,3,5,0.66,5,0
1,0,14.3,56,2,2,8.99,1,3,1,0.25,0,2
2,0,9.98,10,1,2,8.99,0,4,3,0.91,5,0
2,1,2.22,34,2,3,17.99,1,2,1,0.06,3,4
1,1,15.42,36,1,1,17.99,0,2,4,0.42,1,4
2,2,22.26,38,5,2,13.99,0,1,5,0.57,4,4
2,2,7.92,23,5,3,13.99,0,1,1,0.33,6,0
0,0,5.26,33,5,2,8.99,1,1,3,0.15,2,0
0,0,10.97,10,4,2,8.99,0,4,1,1.0,1,0
2,1,1.25,13,2,4,17.99,1,2,3,0.09,1,0
0,2,8.12,32,0,0,13.99,1,1,2,0.25,0,0
0,1,7.67,40,4,4,17.99,0,4,4,0.19,5,1
0,2,15.53,27,5,1,13.99,0,0,1,0.55,1,4
2,1,7.97,57,2,1,17.99,1,3,5,0.14,3,1
2,0,24.58,18,1,0,8.99,0,2,1,1.29,2,2
0,2,7.39,6,4,3,13.99,0,4,1,1.06,5,0
1,1,6.92,13,0,0,17.99,0,1,2,0.49,0,4
2,1,1.37,55,3,2,17.99,1,2,1,0.02,4,4
0,0,24.56,53,4,1,8.99,1,3,1,0.45,0,1
2,2,15.87,52,0,1,13.99,1,1,1,0.3,6,0
0,2,7.62,27,1,3,13.99,0,2,3,0.27,0,0
1,2,3.05,29,4,4,13.99,1,4,1,0.1,3,1
0,1,13.31,34,0,2,17.99,1,2,2,0.38,5,4
1,1,0.97,32,5,2,17.99,1,3,2,0.03,1,2
2,2,21.58,48,3,2,13.99,0,0,5,0.44,5,2
2,2,22.59,16,2,4,13.99,0,0,2,1.33,1,4
0,2,9.69,35,1,3,13.99,1,1,4,0.27,2,4
1,1,12.82,45,3,2,17.99,1,4,2,0.28,5,4
0,1,15.95,15,5,1,17.99,0,0,1,1.0,0,4
2,1,2.05,14,3,4,17.99,0,2,5,0.14,5,0
2,1,3.86,25,2,4,17.99,1,4,3,0.15,0,2
2,0,1.68,10,0,3,8.99,1,4,4,0.15,0,0
1,2,4.22,50,4,0,13.99,1,3,2,0.08,1,0
0,0,26.88,44,5,0,8.99,0,3,3,0.6,3,2
0,2,2.23,39,3,2,13.99,1,2,5,0.06,3,4
1,1,14.15,24,5,0,17.99,0,4,5,0.57,3,4
1,1,8.79,21,2,4,17.99,0,1,4,0.4,1,4
1,2,14.57,22,3,2,13.99,0,2,2,0.63,5,2
1,2,3.01,30,1,0,13.99,1,3,3,0.1,2,2
1,0,12.05,33,5,4,8.99,1,4,3,0.35,3,1
0,1,3.7,37,5,2,17.99,1,0,2,0.1,4,2
1,1,5.84,20,4,2,17.99,0,0,1,0.28,2,2
2,2,2.89,37,3,0,13.99,1,2,4,0.08,0,2
